I,time,atemp,cad,hr,lat,lon
460,2020-05-28T01:44:54.000Z,25.0,82,122,43.7236824072897434234619140625,-79.36350007541477680206298828125
461,2020-05-28T01:45:04.000Z,25.0,82,122,43.72373546473681926727294921875,-79.36375438235700130462646484375
462,2020-05-28T01:45:11.000Z,25.0,81,122,43.7237159349024295806884765625,-79.3640044145286083221435546875
463,2020-05-28T01:45:20.000Z,25.0,81,123,43.72364745475351810455322265625,-79.3641630001366138458251953125
464,2020-05-28T01:45:25.000Z,25.0,81,123,43.72357637621462345123291015625,-79.36433055438101291656494140625
465,2020-05-28T01:45:31.000Z,25.0,84,123,43.72347839176654815673828125,-79.36445611529052257537841796875
466,2020-05-28T01:45:37.000Z,25.0,83,123,43.7233360670506954193115234375,-79.36463179998099803924560546875
467,2020-05-28T01:45:46.000Z,25.0,81,123,43.7232569418847560882568359375,-79.3646964244544506072998046875
468,2020-05-28T01:45:50.000Z,25.0,83,123,43.72308276593685150146484375,-79.36477529816329479217529296875
469,2020-05-28T01:45:58.000Z,25.0,85,122,43.7230427004396915435791015625,-79.36479759402573108673095703125
470,2020-05-28T01:46:00.000Z,25.0,84,122,43.72284329496324062347412109375,-79.3648332171142101287841796875
471,2020-05-28T01:46:12.000Z,25.0,85,121,43.7226973660290241241455078125,-79.36478703282773494720458984375
472,2020-05-28T01:46:19.000Z,25.0,84,120,43.72248739935457706451416015625,-79.3647363223135471343994140625
473,2020-05-28T01:46:31.000Z,25.0,81,120,43.7222997285425662994384765625,-79.3647192232310771942138671875
474,2020-05-28T01:46:39.000Z,25.0,82,120,43.722103424370288848876953125,-79.36469030566513538360595703125
475,2020-05-28T01:46:46.000Z,25.0,82,121,43.72191340662539005279541015625,-79.36471628956496715545654296875
476,2020-05-28T01:46:54.000Z,25.0,83,123,43.7217150069773197174072265625,-79.36470472253859043121337890625
477,2020-05-28T01:47:02.000Z,25.0,83,123,43.72156656347215175628662109375,-79.36468644998967647552490234375
478,2020-05-28T01:47:09.000Z,25.0,81,120,43.72144251130521297454833984375,-79.36450590379536151885986328125
479,2020-05-28T01:47:16.000Z,25.0,83,121,43.72131594456732273101806640625,-79.364311695098876953125
480,2020-05-28T01:47:24.000Z,25.0,85,121,43.7212198041379451751708984375,-79.3640892393887042999267578125
481,2020-05-28T01:47:32.000Z,25.0,81,124,43.72112014330923557281494140625,-79.36385982669889926910400390625
482,2020-05-28T01:47:41.000Z,25.0,81,124,43.72107169590890407562255859375,-79.36364659108221530914306640625
483,2020-05-28T01:47:47.000Z,25.0,83,123,43.72100262902677059173583984375,-79.36340284533798694610595703125
484,2020-05-28T01:47:55.000Z,25.0,81,122,43.72088871896266937255859375,-79.36319078318774700164794921875
485,2020-05-28T01:48:05.000Z,25.0,81,121,43.7208075821399688720703125,-79.36295860446989536285400390625
486,2020-05-28T01:48:13.000Z,25.0,81,120,43.7206924147903919219970703125,-79.36274453066289424896240234375
487,2020-05-28T01:48:22.000Z,25.0,81,122,43.72060482390224933624267578125,-79.362556524574756622314453125
488,2020-05-28T01:48:30.000Z,25.0,81,125,43.72049133293330669403076171875,-79.36236516572535037994384765625
489,2020-05-28T01:48:39.000Z,25.0,81,123,43.72042561881244182586669921875,-79.362215213477611541748046875
490,2020-05-28T01:48:46.000Z,25.0,83,126,43.720315732061862945556640625,-79.36206039972603321075439453125
491,2020-05-28T01:48:53.000Z,25.0,81,126,43.7202971242368221282958984375,-79.3620336614549160003662109375
492,2020-05-28T01:48:54.000Z,25.0,81,126,43.72020819224417209625244140625,-79.361827634274959564208984375
493,2020-05-28T01:49:05.000Z,25.0,81,128,43.7201365269720554351806640625,-79.36159034259617328643798828125
494,2020-05-28T01:49:12.000Z,25.0,82,127,43.72015287168323993682861328125,-79.361525215208530426025390625
495,2020-05-28T01:49:15.000Z,25.0,81,127,43.72017784975469112396240234375,-79.361458830535411834716796875
496,2020-05-28T01:49:19.000Z,25.0,81,131,43.72016376815736293792724609375,-79.36139889992773532867431640625
497,2020-05-28T01:49:21.000Z,25.0,81,131,43.720075674355030059814453125,-79.3612400628626346588134765625
498,2020-05-28T01:49:24.000Z,25.0,81,131,43.7200966291129589080810546875,-79.36103696934878826141357421875
499,2020-05-28T01:49:30.000Z,25.0,82,135,43.7201160751283168792724609375,-79.36083613894879817962646484375
500,2020-05-28T01:49:36.000Z,25.0,81,132,43.72012185864150524139404296875,-79.36080093495547771453857421875
